"Start";"End";"Activity name";"Location";"Trainer nickname";"Customer number";"First name";"Last name";"E-Mail";"Clubgroup name";"Newsletter";"Product name";"Price";"Attended";"Phone number"
"01/05/2026 10:00";"01/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 1";"test+1@example.com";"Intern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"015200000001"
"01/05/2026 11:00";"01/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 2";"test+2@example.com";"Extern";"yes";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000002"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 3";"test+3@example.com";"Extern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000003"
"06/05/2026 10:00";"06/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 4";"test+4@example.com";"Extern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000004"
"08/05/2026 11:00";"08/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 5";"test+5@example.com";"Extern";"yes";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000005"
"01/05/2026 10:00";"01/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 6";"test+6@example.com";"Intern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000006"
"01/05/2026 11:00";"01/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 7";"test+7@example.com";"Extern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000007"
"05/05/2026 09:00";"05/05/2026 09:55";"Reformer Booty Burn Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 8";"test+8@example.com";"Extern";"yes";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000008"
"06/05/2026 10:00";"06/05/2026 10:55";"Feel-Good Friday Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer B";"";"Test";"Customer 9";"test+9@example.com";"Extern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000009"
"08/05/2026 11:00";"08/05/2026 11:55";"Reformer Flow Group Class";"Test Studio, Teststraße 1, 70173 Stuttgart";"Trainer A";"";"Test";"Customer 10";"test+10@example.com";"Extern";"no";"10er Karte-Gruppe";"252.00 €";"yes";"+4917600000010"
